"id","text_pt","sentiment"
"24","Muito ruim Pecimo é conhaque purro eu nunca mais compro bebidas pelo mercado livre.","neg"
"25","Excelente Ja conheço o produto coisa boa top recomendo para todos ai.","pos"
"26","Biom Muito bom chego dentro do horário  tudo ótimo. Top o produto.","pos"
"27","Excelente Comprado em loja oficial por um preço bem agradável. Produto original.","pos"
"28","Perfeito !! Ótimo produto com um bom preço não encontra em lugar nenhum.","pos"
"29","750 ml de bom wiskey  Muito bom e o preço estava ok. Atenção que são 750ml.","pos"
"30","Originalzão pprt Tudo certinho aqui na favela dá aula todos os testes aprovada.","pos"
"31","Otimo produto recomendo  Excelente produto recomendo a todos fiquei muito satisfeito com o produto.","pos"
"32","Falso Produto não é original estou frustado com a minha compra.","neg"
"33","Ótimo. Meu namorado adorou o presente e diz ser muito bom.","pos"
"34","Excelente Muito bom recomendo a todos. Muito bom recomendo a todos.","pos"
"35","Excelente Top. Td dentro do tempo. E qualidade excelente do produto.","pos"
"36","Excelente Excelente! foi um ótimo presente e quem ganhos gostou muito.","pos"
"37","Excelente Produto de ótima qualidade espero pode comprar muito mais obrigado.","pos"
"38","Excelente Ótima conpra gostei muito e recomendo a todos para conpra.","pos"
"39","Muito bom Ainda não abri a garrafa. Outro que comprei estava bom!.","pos"
"40","Excelente Produto  100 po cento original muito bom estão de parabéns.","pos"
"41","Excelente Muito bom produto! veio até com a caixa original.","pos"
"42","Excelente Coloquei para degustação em uma festa e beberam tudo.","pos"
"43","Ótimo Muito bom super saboroso como tem que ser original.","pos"
"44","Eu recomendo Produto muito bom  é original pode comprar sem medo.","pos"
"45","Otimo produto Ótimo preço e qualidade precisa voltar ao mesmo preço.","pos"
"46","Vou testar pra ver se não é badok Pensei que fosse de um litro mais tudo bem.","pos"
"47","Excelente Achei de ótima qualidade.  Recomendo e vou comprar mais.","pos"
"48","Excelente qualidade Whisky de boa qualidade. Todo dentro do padrão. Recomendo.","pos"
"49","Excelente Ohnnie walker blended red label reino unido 750 ml.","pos"
"50","Satisfeito Muito bom barato tbm compraria denovo e chega rapidinho.","pos"
"51","Ótimo  Top demais original preço bom gostei muito de ++++.","pos"
"52","recomendo  Excelente! não só recomendo como comprei mais. Saúde.","pos"
"53","Muito Bom O produto e de boa qualidade eu recomendo.","pos"
"54","Perfeito Excelente de ótima qualidade perfeito estado de conservação.","pos"
"55","Toop Era oq eu precisava obrigado!! atendeu minhas expectativas.","pos"
"56","Qualidade 10 Produto show!original. Comprei para dar de presente.","pos"
"57","Excelente Bebi tudo. Não me lembro de muita coisa.","pos"
"58","Excelente Muito top !!! meu natal ficou ate melhor kkkk.","pos"
"59","Muito bom Conheço o produto faz muito tempo. Excelente produto.","pos"
"60","Bom Produto de primeira qualidade recomendo a todos vcs.","pos"
"61","Excelente Muito  b om whisky legitimo de boa qualidade.","pos"
"62","Excelente Muito bom mesmo produto original nota 10 excelente.","pos"
"63","Boa Ótima sexta-feira abraços pra todos nós abraços.","pos"
"64","Otimo Um jwrl. . . Um bom uísque para os happyhours.","pos"
"65","Excelente. Cumpriu com o esperado. A garrafa é bonita.","pos"
"66","Excelente Boa tarde!.  Eu gostei e recomendo a compra.","pos"
"67","Boa Forte top valei a pena eu paguei galo.","pos"
"68","Excelente Produto de primeira qualidade. Muito bom. Compra excelente.","pos"
"69","Excelente Muito bom top demais de primeira muito bom.","pos"
"70","Excelente Muito bom me supreendeu gosteii muito do wisky.","pos"
"71","Excelente Perfeito  amo destilado whisky é o meu preferido.","pos"
"72","Ótimo Muito bom e original recomendo e chegada rápido.","pos"
"73","Excelente produto  Bom de ótima qualidade do geito que imaginava.","pos"
"74","Fiquei bêbado ontem hoje estou de ressaca Já bebi todo. Ressaca do caralho não recomendo.","pos"
"75","Excelente... Recomendadissimo... Excelente. Produto original e exatamente como anunciado. Recomendadissimo.","pos"
"76","Produto de altíssima qualidade recomendo a compra  Produto de altíssima qualidade recomendo a compra.","pos"
"77","Excelente Muito bom. Produto já conhecido e aprovado.","pos"
"78","Maravilhoso uísque  Muito bom! blended saboroso! sabor sem igual.","pos"
"79","Maravilhoso  Maravilha uma delícia obrigado pelo produto top.","pos"
"80","Top demais Top.  Produto original e de excelente qualidade.","pos"
"81","Qualidade Muito bom produto de qualidade gostei demais.","pos"
"82","Excelente Ótimo bom de preço tbm queria agradecer.","pos"
"83","Excelente Animou mais a festas de ano novo.","pos"
"84","Excelente Produto original e ainda vem com caixa.","pos"
"85","Excelente Muito bom maravilhoso sem reclamações  só elogios.","pos"
"86","Excelente Produto muito bom eu recomendo a todos.","pos"
"87","Excelente Produto muito bom eu recomendo a todos.","pos"
"88","Excelente Chapo eu!! fiquei muito loco!! bom mesmo!!.","pos"
"89","Muito ruim Eu gostei muito só outra agora obrigada.","neg"
"90","Produto de qualidade... Realmente é  original pode confiar muito bom.","pos"
"91","Excelente Muito bom original podem comprar sem medo.","pos"
"92","Excelente Produto de ótima qualidade eu super indico.","pos"
"93","Excelente Ótimo produto com ótimo preço eu recomendo.","pos"
"94","Bom Ainda não tomei mas parece bom.  Íiiiiiiiiijijjk.","pos"
"95","Gostei muito do produto!  Gostei muito do produto!    igual da imagem.","pos"
"96","Excelente Muito bom excelente e na medida certa.","pos"
"97","Excelente Excelente. Um bom whisky para quem aprecia.","pos"
"98","Crise  Red e red nao adianta ne toppppp.","pos"
"99","Umá bosta  Muito falsificado tem gosto de bland black.","neg"
"100","Excelente Muito bom o produto comprarei outras vezes.","pos"
"101","Excelente Para bons bebedores. Nem oreciso complementar elegios!!.","pos"
"102","Muito ruim Bebi demais e briguei com minha mulher…??.","neg"
"103","Priduto muito bom...  Produto de qualidade. Superou minha expectativa. Recomendo!.","pos"
"104","Razoável Ótimo custo benefício razoável compraria de novo.","pos"
"105","Excelente Muito bom eu recomendo que eu axo.","pos"
"106","Excelente Tudo certo produto original vou comprar novamente.","pos"
"107","recomendo  Muito bom bonito e preço muito baixo.","pos"
"108","Produtos muito bom de primeira  vale apena.","pos"
"109","Do produto. recomendo  Gostei muito do produto. Recomendo a todos.","pos"
"110","Recomendo Bebi rápido fiquei com.  Testa grosso recomendo.","pos"
"111","Excelente Muito bom.  Ótimo preço. Vale a pena.","pos"
"112","Otimo Muito bom produto original lacrado na caixa.","pos"
"113","Excelente Excelente. Recomendo a todos do mercado livre.","pos"
"114","Aparenta um bom produto estou satisfeito! Parece de boa qualidade ainda não provei!.","pos"
"115","Horrivrl Produto não é original produto é falso.","neg"
"116","O original Ótimo! e igual o zé vaqueiro original :).","pos"
"117","Top Veio tudo certinho voltarei a compra novamente.","pos"
"118","Compra não reconhecida Não comprei esse produto.  Favor verificar.","neg"
"119","Excelente Muito bom. Valeu muito a pena.","pos"
"120","Excelente Muito bom o produto. Gostei muito.","pos"
"121","Muito bom Veio certinho! muito bom o produto!!!.","pos"
"122","Acalma em todos os sentidos!!! Johnnie eh johnnie e ponto final!.","pos"
"123","Excelente Produto excelente muito bom uma delícia.","pos"
"124","Excepcional  Muito bom sabor excepcional gosto de maçã verde bem encorpado porém na minha opinião para o meu paladar e bom apenas com gelo de coco me recomendaram gelo de maracujá porém acabou tirando todo o gosto do wisky ficou muito doce muito top recomendo quando acabar vou pedir outra.","pos"
"125","Excelente Bem gostoso!!! dica: assim que chegar deixe no freezer pra tomar bem gelado!  ).","pos"
"126","Muito ruim Eu vou processar voces! não comprei esse produto! e estão querendo me cobrar!!!!!!!!!!!.","neg"
"127","Top demais maravilhoso recomendo a todos da comunidade. Produto top e de procedencia.","pos"
"128","Excelente Com selinho do ipi nota fiscal e tudo mais original que isso impossível.","pos"
"129","Faz a frente em um esquenta! Bem doce! mas otimo para tomar geladissimo e em shot!.","pos"
"130","Produto de qualidade.  Produto muito bom original recomendo a compra sem medo.","pos"
"131","Toop De ótima qualidade pode comprar q eh do bom.","pos"
"132","Excelente Esse jack é uma delícia ótimo para fazer drink.","pos"
"133","Ótimo  Comprei pra presentear e a pessoa adorou. Muito bom.","pos"
"134","Excelente Maravilhoso. Pra quem gostar de sabor e qualidade.","pos"
"135","Gostoso  Muito bom fazer umas promoção que compro mais.","pos"
"136","Excelente Original com lacre e na caixa do whisky.","pos"
"137","Excelente Top demais. Recomendo. Produto de qualidade e procedência.","pos"
"138","Otimo Ótimo produto eu o recomendo muito bom.","pos"
"139","Top demais  Ele é top demais gostei muito bom.","pos"
"140","Excelente Muito bom o whisky ! qualidade de primeira.","pos"
"141","Excelente Excelente bebida! não conhecia e gostei muito!.","pos"
"142","Produto muito bom  Produto de primeira qualidade.  Original excelente.","pos"
"143","Excelente compra uma das melhores que fiz  Top demais muito gostoso excelente bebida.","pos"
"144","Excelente Otimo whisky.  Simplesmente o melhor.","pos"
"145","Excelente Teeeeeeeeeeemmmmmm gostooooooooooooo de maçãaaaaaaaaaaaaaaaaa verde.","pos"
"146","Excelente Produto muito bom sem comentarios.","pos"
"147","Excelente Produto de excelente qualidade.","pos"
"148","Amei! Adorei esse whisky! maravilhoso!.","pos"
"149","Excelente Produto de excelente qualidade !!!.","pos"
"150","Excelente . . . . . . . . . . . . . . . . . . . . . . . Tudo conforme esperado.","pos"
"151","Excelente Ótimo produto ????????????????.","pos"
"152","Ok Ok.","pos"
"153","Justo pelo preço  Gin honesto. Gosto marcado - não é pra quem prefere sabor muito suave - e preço justo.","pos"
"154","Excelente custo x benefício  Excelente custo x benefício. Vale a pena no preparo de drinks.","pos"
"155","Excelente Produto bom e de boa qualidade. A garrafa tbm é bonita.","pos"
"156","Excelente Excelente custo/benefício. Floral. Enfim. Muito boa compra.","pos"
"157","Excelente Já conheço 0 gin gordon s london dry.","pos"
"158","Excelente Excelente custo beneficio! sempre compro esse gin.","pos"
"159","Excelente Muito bom! gostei bastante valeu a pena!!!.","pos"
"160","Ótimo. Ótimo. E super recomendo a todos.","pos"
"161","Super indico. Geladinho ótimo para misturar drinks Excelente produto!!! vale a pena.","pos"
"162","Muito boa  Produto de qualidade satisfeito.","pos"
"163","Excelente Excelente relação custo benefício.","pos"
"164","Excelente Produto atendeu às expectativas.","pos"
"165","Excelente Muito bom.","pos"
"166","Excelente Perfeito. Produto original e de qualidade excelente.","pos"
"167","Excelente Excelente produto!!! excelente!!!.","pos"
"168","Melhore seu final de semana com heineken. Maravilhoso nao troco heineken por outra.  Nunca heineken e a melhor na duvida vai de heineken.","pos"
"169","Excelente É bom mas o mercadolivre ta pedindo que eu digite mais caracteres então vou digitar.","pos"
"170","Excelente Gostei veio na hora certa no momento ezato e o prço melhor ainda.","pos"
"171","Excelente Gente! achei um luxo receber em casa. Foi tão bom!!!.","pos"
"172","Produto maravilhoso  Já consumi o produto outras vezes é top recomendo.","pos"
"173","Excelente Uma delicia. Se iver mais promoções podem me enviar.","pos"
"174","Excelente Espero que tenha mais promocoes assim simplesmente espetacular!.","pos"
"175","Excelente Valor ótimo  deveria ter mais ofertas assim. Amei.","pos"
"176","Excelente Produto de ótima qualidade e fácil de utilizar.","pos"
"177","Excelente Top muito bom deveria ter mais suoer oferta.","pos"
"178","Excelente Heinikein é heiniken. Sempre bom tomar bem gelada.","pos"
"179","Muito bom porém caro demais  Sabor bem melhor que a cerveja  da marca.","pos"
"180","Excelente Produto de excelente qualidade recomendo a todos.","pos"
"181","Excelente Não lembro. Bebi tudo em algumas horas.","pos"
"182","Melhor cerveja do Brasil Exelente como sempre a heiniken é top.","pos"
"183","Excelente Muito bom. Indicaria com certeza top demais.","pos"
"184","Excelente Um caso de amor com essa belezura (:.","pos"
"185","Bom Já conheço a qualidade da cerveja heineken.","pos"
"186","Excelente Melhor opção de cerveja em barril.","pos"
"187","Excelente Adorei. Esse produto é sempre maravilhoso.","pos"
"188","Exelente Boa demais aproveitei a promoção 50%.","pos"
"189","Top Perfeito muito bom adorei o preco.","pos"
"190","Excelente Ótimo produto e a qualidade indiscutível.","pos"
"191","Excelente Gostei muito vou compea denovo otimo.","pos"
"192","Excelente Chopp muito bom! recomendo demais!.","pos"
"193","Beleza Otimo como sempre primeira qualidade.","pos"
"194","Excelente Excelente produto com excelente preço.","pos"
"195","Excelente Muito bom! pretendo comprar sempre!.","pos"
"196","Excelente Excelente produto. Comprei mais. Parabéns.","pos"
"197","Muito bom Ótimo preço excelente cerveja ótima.","pos"
"198","Excelente Cerveja maravilhosa gostei muito.","pos"
"199","Excelente Produto de excelente qualidade.","pos"
"200","Excelente Excelente preço……………………………………….","pos"
"201","Excelente Muito                                                 bom.","pos"
"202","Excelente Top demais!.","pos"
"203","Excelente Superou e muito as expectativas ela ótima super forte não tem problema em usar com extensão muito longa tenho certeza que quem comprar fica feliz e eu uso profissionalmente forço mesmo nunca tive nenhum problema tenho outra igual já tem 2 anos muito show.","pos"
"204","Adorei  Achei muito boa ainda não testei por muito tempo. Mas fiz uma solda com ela e superou minhas expectativas perfeito estou muito satisfeito com a compra parabéns a marca tork parabéns.","pos"
"205","Muito insatisfeito  Mt rui não funciona corretamente com a energia 127v e para de funcionar só volta após desligar na tomada e liga dnv. Não compre e dinheiro jogado fora.","neg"
"206","Muito bom Pelos primeiros testes que foram realizados e aprovados até o presente momento. Aguardamos um uso maior da máquina para que possamos dar um parecer melhor sobre a questão.","pos"
"207","Perfeita. Perfeita.  O que tem de portátil tem de qualidade.  Solda leves e moderadas faz com perfeição.  Materiais finos e grossos ficam com um acabamento perfeito.  Amei.","pos"
"208","Muito boa top Muito boa pequena e potente a solda fica perfeita pode comprar e ser feliz derrete facil eletrodo 2. 5 e 3. 2 mlm igual manteiga.","pos"
"209","Simplesmente perfeita gente.... Super recomendo  Confesso que quando vi o tamanho da máquina me assustei  ela muito pequena mais é fantástica gente pode comprar vocês vão se surpreender com ela.","pos"
"210","Otima qualidade Estou dando 4 estrelas pq só testei mais me parece bem acima da média parabéns pela qualidade do produto leve e resistente e potente.","pos"
"211","Produto ótimo Muito pequena a máquina mas não perde para máquina grande nenhuma 110/220 automático muito boa pode comprar sem medo ótima qualidade.","pos"
"212","Muito ruim Cade a nota fiscal  do produtor  fio muito curto sem plugue  para liga na tomada que vegonha lameto voces da fabrica.","neg"
"213","Muito ruim Porque tinha feito o pedido é véi erado e não quiseram fazer a troca é eu estou muito decepcionado com vcs.","neg"
"214","Excelente Ótima máquina muito boa recomendo a todo quando comprei não esperava muito coisa pelo tamanho dela mas é muito boa gostei.","pos"
"215","Muito bom Eu dei nota quatro porque eu não usei muito ela ainda mas eu acho que é um bom produto.","pos"
"216","Pratica e leve Muito boa leve e versátil agora posso fazer minhas coisas sem precisar contratar um serralheiro para pequenos trabalhos.","pos"
"217","Bom Cumpri com o prometido ótima para se trabalhar com a máquina por ser leve e pequena.","pos"
"218","Excelente Boa é uma máquina de pequeno porte mais muito boa queima eletrodo muito bem gostei.","pos"
"219","50 Parabens a maquina e muinto boa ja fiz varios serviços com ela e me surpreendeu.","pos"
"220","Ótima qualidade Pequena mais com uma qualidade de gente grande top mesmo e já testei e aprovo.","pos"
"221","Excelente Muito bom ótima qualidade bem potente não cola o eletrodo vale a pena  comprar.","pos"
"222","Excelente E uma super maquina invesora top tecnologia de ponta 2 ano de garantia recomendo.","pos"
"223","Excelente Muito melhor do que eu pensei.  Excelente aquisição.  Super recomendo.  Derrete eletrodos com vontade.","pos"
"224","Excelente Produto aparentemente de boa qualidade. Só o tempo para dizer se é bom mesmo.","pos"
"225","Ótimo  recomendo muito bom  Ótimo  produto  atende bem com as coisas que tenho que  fazer na minha  casa.","pos"
"226","Ótima aquisição. Pequeno porém eficiente.  O eletrodo quase não fica grudando ao soldar.  Gostei muito.","pos"
"227","Recomendo pode comprar Top muito boa excelente indico pode comprar show de bola solda tig top.","pos"
"228","Excelente Top a maquininha!!! muito potente abre o arco fácil muito boa de soldar.","pos"
"229","Ótimo produto. Excelente produto. Gostei muito. Deveria haver mais produtos de qualidade como este.","pos"
"230","Excelente Máquina muito boa usei pouco ainda mas cumpriu os requisitos da descrição.","pos"
"231","Muito bom O primeiro teste foi muito satisfatório. A solda e silenciosa e limpa.","pos"
"232","Excelente Produto  incrível atendeu minhas expectativas  funciona super bem  com certeza  recomendo.","pos"
"233","Excelente produto  Gostei muito faz uma solda precisa e eficiente excelente produto.","pos"
"234","Muito satisfeito com a inversora! Gostei muito! ótimo desempenho ao que se propõe! muito satisfeito!.","pos"
"235","Excelente E ótimo quem compra não arrepende pode ter certeza obg.","pos"
"236","Recomendo pra todos robista Ecelente produto gostei muito da inversora recomendaço pra todo roubista.","pos"
"237","Top demais Muito boa recomendo usei e me surpreende com a eficiência.","pos"
"238","Excelente De muita boa qualidade que vai me servir otimente bem.","pos"
"239","Excelente Mercadoria de qualidade. Fácil para operar e de qualidade.","pos"
"240","Excelente Exelente produto recomendo deveria ter comprado a mais tempo.","pos"
"241","Muito bom O produto muito bom atendeu a minha necessidade indico.","pos"
"242","Eselente  Segundo meu sossil ele a adorou disse ser boa.","neg"
"243","Muito bom Comprei para presentear um amigo. Ele diz\ ser bom.","pos"
"244","Recomendo Excelente. Bom para reparos e trabalhos de médio porte.","pos"
"245","Exelente produto  Superou minhas expectativas muito bom custo benefício super indico.","pos"
"246","Excelente Maravilhosa adorei eu indico pode comprar vcs vão adorar.","pos"
"247","Recomendo Ótimo produto. Pequeno mas cumpre bem o descrito.","pos"
"248","Excelente Muito bom atende as demandas do meu trabalho.","pos"
"249","Excelente Muito boa. Ela faz as minhas precisões recomendo.","pos"
"250","Excelente Eu achei boa mais perto que tinha comprado.","pos"
"251","Excelente Excelente !  nota 10 !  a melhor que já usei !.","pos"
"252","Produto nota 10 Muito bom o produto o tima qualidade recomendo.","pos"
"253","Excelente Muito bom de boa qualidade fácil de trabalhar.","pos"
"254","Excelente máquina pra trabalhar em qualquer lugar Excelente show de bola prática e muito boa.","pos"
"255","Muito boa Muito boa me surpreendeu pelo tamanho eu indico.","pos"
"256","Nota 10 levinha  Muito boa gostei so os cabos sao pequeno.","pos"
"257","Ótimo Muito boa do jeito que eu imaginei.","pos"
"258","Muito bom Na corrente de 220 funciona muito bem.","pos"
"259","Excelente Bom produto atendeu muito bem ao proposito !.","pos"
"260","Bom produto Bom produto máquina muito potente pelo tamanho.","pos"
"261","Ótimo  Muito bom gostei muito recomendo a todo.","pos"
"262","Muito bom Muito boa meu esposo adorou bom recomendo.","pos"
"263","Excelente Top demais eu adorei muito custos benefícios.","pos"
"264","Boa Muito boa uma marca boa de mais.","pos"
"265","Muito bom Produto bom.  Porém os cabos são curtos.","pos"
"266","Show  Muito boa mesmo recomendo com certeza.","pos"
"267","100% Excelente facil de manusear.  Sem reclamações.","pos"
"268","Ótimo Recomendo a todos do mercado livre.","pos"
"269","Uso e recomendo pode confiar Muito bom produto de muita qualidade.","pos"
"270","Excelente Muito útil. De excelente qualidade. Recomendo.","pos"
"271","Ruim Ótima  muito  boa  valeu apena compra.","neg"
"272","Muito bom Produto muito bom atende as expectativas.","pos"
"273","Muito bom Otimo produto excelente atendeu minha espectativa.","pos"
"274","Top Excelente máquina. Vale muito a pena.","pos"
"275","Excelente Pelo pouco que usei achei excelente.","pos"
"276","Excelente Excelente produto recomendo. Superou minhas espectativa.","pos"
"277","Excelente Ate o momento está sendo ótimo.","pos"
"278","Excelente Ate o momento está sendo ótimo.","pos"
"279","Muito bom Gostei muito podem comprar sem medo.","pos"
"280","Excelente Produto de ótima qualidade! recomendo!.","pos"
"281","Excelente Excelente máquina!recomendo a todos!!!.","pos"
"282","Excelente produto atendeu minhas expectativas.","pos"
"283","Ótima Top bom desempenho ótimo máquina.","pos"
"284","Ótimo produto  Muito bom atendeu minha expectativa.","pos"
"285","Vale muito a pena Produto excelente ótimo custo benefício.","pos"
"286","Excelente Produto tudo ok funcionou perfeitamente.","pos"
"287","Inversora muito boa bastante forte fácil de usar. Produto como descrito muito satisfatório.","pos"
"288","Recomendo  Muito boa superou as espectativas.","pos"
"289","Muito bom o produto. Excelente. Produto muito bom super recomendo.","pos"
"290","Ótimo produto Ótimo produto bem potente recomendo.","pos"
"291","Otimo Excelente produto acima da média.","pos"
"292","Top Ótimo produto muito boa qualidade.","pos"
"293","Excelente Ótimo produto  sem comentarioas.","pos"
"294","Otima Excelente mim atende perfeitamente.","pos"
"295","Excelente.  Perfeito.  Superou minhas expectativas.","pos"
"296",".... Ótima muito boa.","pos"
"297","Excelente Excelente qualidade recomendo.","pos"
"298","Excelente Tô gostando da solução nutritiva pra tá tá cendo excelente vou continuar com ela.","pos"
"299","Muito bom produto Parece bom ainda não usei mas veio bem embalada sem risco de umidade.","pos"
"300","Excelente É muito bom gostei muito do produto atendeu bem a minha mesesedadi.","pos"
"301","Excelente  Exatamente o que esperava muito bom o produto recomendo.","pos"
"302","Muito bom as plantas se desenvolver bem Muito bom as planta as sementes saíram bem.","pos"
"303","Eu recomendo Veio bem certinho  produto bom de qualidade.","pos"
"304","Perfeito  Muito bom. Atendeu a minha expectativa.","pos"
"305","Gostei!porém o engate da alça não suportou o peso  Usei e gostei muito. Porém não tenho como carrega-la pois o engate de encaixe quebrou no( e de plástico? ) mesmo dia que eu usei. Tentei até colar mas foi em vão estou chateada! espero que seja solucionado e aguardo resposta.","pos"
"306","A máquina é boa só deixa a desejar na falta do itm A máquina é perfeita porém ela não v com o outro bico de leque que é o que se coloca o snow flow uma pena só vem nas outras máquinas tem que comprar a parte e não é barato.","pos"
"307","PRODUTO CARECE DE AJUSTES Produto tem dois problemas cruciais: o bico não tem controle de jato (tive que experimentar outro bico e o outro funcionou)   a alça é ridiculamente frágil. É construida com um plastico muito fino. Quebrou no segundo dia de uso.","neg"
"308","Produto com a carenagem muito frágil Produto com a alça muito frágil. Fui movimentar a lavadora enquanto eu manuseava para fazer a limpeza da área a alça quebrou os pinos de encaixe. Não indico para ninguém por esse motivo.","neg"
"309","Exelente E realmente tudo que promete. A função de jatea espuma e muito top. Tem um barulho meio estranho quando liga mais creio q seja normal. Fora isso exelente.","pos"
"310","Excelente Produto excelente muito bom eu tô gostando e recomendo excelente mesmo dormir lavo o carro rapidinho agora com a lavadora de alta precao muito boa gastei bastante.","pos"
"311","Excelente A lavadora de alta pressão karcher k2 black preta com 1600 psi 127volts é uma excelente máquina de lava jato sobre pressão. Recomendo-a.","pos"
"312","Produto de ótima qualidade nota 1000 parabéns .. Top faço manutenção em ar condicionado para lavar os equipamentos não tem igual a pressão e ótima não atinge a serpentina toppppp. Nota 1000.","pos"
"313","Excelente É um produto muito eficaz. Já o usei e consegui limpar o prédio onde moro deixando a pintura como se fosse nova.","pos"
"314","Plug da entrada de água fraco demais. Em menos de 6 meses o plug da mangueira de entrada já não suporta o funcionamento do produto e fica ejetando.","neg"
"315","Excelente Ótima máquina.  Cumpre o que promete.  Tenho carros e caminhões e ela funciona bem até pra uma lavagem mais pesada.","pos"
"316","Muito ruim Muito ruim com duas semanas  parou de funcionar e estou tentando entrar em contato com os responsáveis  e não consigo.","neg"
"317","Muito ruim Cheio de defeito.  Hora funciona bem.  Hora funciona mal.  Dando muita entrada de ar.  Mesmo com agua com toda pressao.","neg"
"318","Otimo Produto muito bom. A extensão da tomada é ótima bem como a mangueira. E leve e fácil de manusear. Gostei.","pos"
"319","Muito bom Muito bom só não dei 5 estrelas por que não vem o jato turbo tubo terei que comprar a parte.","pos"
"320","Um produto de ótima  qualidade . Produto de ótima qualidade uso para limpar tela de silk além de limpar com o eficiência economizou água e tempo.","pos"
"321","Muito ruim No primeiro dia de uso o puxador dela quebrou. O lugar onde trava a peça muito ruim e fraco.","neg"
"322","Muito ruim Produto é fraco esguicho só funciona em uma posição alça de manuseio muito fraca. Não recomendo pois não gostei.","neg"
"323","Muito ruim a qualidade do plastico quebrou montando a bomba.  A alça e a parte de baixo.  Uma merda.","neg"
"324","Excelente Excelente o produto super recomendo pressão boa só a qualidade da alça que precisa melhora o restante e filé.","pos"
"325","Muito bom Para o que tenho que fazer ela é muito boa lavo carro moto causadas garagem quintal e muito mais.","pos"
"326","Muito bom Achei fraca. Poderia ser mais forte. O suporte para colocar os bicos tem folga. O bico fica caindo.","pos"
"327","Excelente Produto muito bom recomendo cumpre suas especificações pressão boa pelo seu tamanho para serviço domésticos e otima.","pos"
"328","Muito bom 7não gostei do jato. Não fica fino e não abre bem o leque. Mas dá pra usar.","pos"
"329","Não recomendo o produto O produto vem com um bico inútil. Tive que gastar mais pra comprar outro. Comprem outra marca!.","neg"
"330","Excelente Muito boa ótima qualidade.  Minha única queixa é que o regulador de água só tem 2 opção.","pos"
"331","Excelente Mto bom perfeito pra lavar moto carro nota 10 gostei e já comprei um pra uma amiga.","pos"
"332","Ruim O cabo para mover a maquina é muito fraco e quebrou com duas vezes de uso.","neg"
"333","Muito bom Produto bom pra uso no dia a dia ajuda na limpeza d veículos e uso domésticos.","pos"
"334","Muito bom A regulagem do bico não é muito boa e deixa a desejar na hora da ultilização.","pos"
"335","Produto de pessima qualidade O produto na segunda lavagem a mengueira que liga na pistola rachou e nao funciona mais!.","neg"
"336","Razoável  Boa noite da pra quebar o galho mais poderia ser mais resistente as partes de plásticos.","neg"
"337","Rápidae eficiente Excelente produto para limpeza de áreas pequenas. Tira sujeira profunda e de forma rápida e eficaz.","pos"
"338","Sensacional concerteza Ótimo produto testado e aprovado por mim que usei au  extremo e é nota 1. 000.","pos"
"339","Não gostei a jato ruim Muito fraco o jato e não tem regulagem no esguicho da pistola. Não gostei.","neg"
